time,open,high,low,close,volume,is_complete
2023-04-10 10:45:00+00:00,"{'units': 4643, 'nano': 0}","{'units': 4644, 'nano': 500000000}","{'units': 4643, 'nano': 0}","{'units': 4644, 'nano': 0}",1803,True
2023-04-10 10:46:00+00:00,"{'units': 4644, 'nano': 500000000}","{'units': 4644, 'nano': 500000000}","{'units': 4643, 'nano': 0}","{'units': 4643, 'nano': 0}",1347,True
2023-04-10 10:47:00+00:00,"{'units': 4643, 'nano': 0}","{'units': 4643, 'nano': 500000000}","{'units': 4643, 'nano': 0}","{'units': 4643, 'nano': 500000000}",182,True
2023-04-10 10:48:00+00:00,"{'units': 4643, 'nano': 500000000}","{'units': 4644, 'nano': 0}","{'units': 4642, 'nano': 0}","{'units': 4644, 'nano': 0}",3128,True
2023-04-10 10:49:00+00:00,"{'units': 4644, 'nano': 0}","{'units': 4645, 'nano': 0}","{'units': 4643, 'nano': 500000000}","{'units': 4645, 'nano': 0}",1159,True
2023-04-10 10:50:00+00:00,"{'units': 4645, 'nano': 0}","{'units': 4645, 'nano': 0}","{'units': 4644, 'nano': 0}","{'units': 4644, 'nano': 500000000}",209,True
2023-04-10 10:51:00+00:00,"{'units': 4644, 'nano': 0}","{'units': 4645, 'nano': 0}","{'units': 4643, 'nano': 500000000}","{'units': 4645, 'nano': 0}",101,True
2023-04-10 10:52:00+00:00,"{'units': 4645, 'nano': 0}","{'units': 4645, 'nano': 500000000}","{'units': 4644, 'nano': 0}","{'units': 4645, 'nano': 500000000}",1311,True
2023-04-10 10:53:00+00:00,"{'units': 4645, 'nano': 500000000}","{'units': 4645, 'nano': 500000000}","{'units': 4641, 'nano': 0}","{'units': 4641, 'nano': 500000000}",701,True
2023-04-10 10:54:00+00:00,"{'units': 4642, 'nano': 0}","{'units': 4642, 'nano': 500000000}","{'units': 4641, 'nano': 0}","{'units': 4642, 'nano': 500000000}",41,True
2023-04-10 10:55:00+00:00,"{'units': 4642, 'nano': 500000000}","{'units': 4642, 'nano': 500000000}","{'units': 4641, 'nano': 0}","{'units': 4641, 'nano': 0}",114,True
2023-04-10 10:56:00+00:00,"{'units': 4640, 'nano': 500000000}","{'units': 4641, 'nano': 0}","{'units': 4640, 'nano': 500000000}","{'units': 4641, 'nano': 0}",267,True
2023-04-10 10:57:00+00:00,"{'units': 4641, 'nano': 0}","{'units': 4641, 'nano': 0}","{'units': 4641, 'nano': 0}","{'units': 4641, 'nano': 0}",23,True
2023-04-10 10:58:00+00:00,"{'units': 4641, 'nano': 0}","{'units': 4642, 'nano': 500000000}","{'units': 4640, 'nano': 500000000}","{'units': 4642, 'nano': 500000000}",121,True
2023-04-10 10:59:00+00:00,"{'units': 4642, 'nano': 500000000}","{'units': 4643, 'nano': 500000000}","{'units': 4642, 'nano': 0}","{'units': 4643, 'nano': 500000000}",32,True
2023-04-10 11:00:00+00:00,"{'units': 4643, 'nano': 500000000}","{'units': 4644, 'nano': 0}","{'units': 4642, 'nano': 0}","{'units': 4642, 'nano': 0}",48,True
